Name,length_words_total,number_of_sentences_total,words_per_sentences_mean,words_per_sentences_std,words_per_sentences_min,words_per_sentences_max,Percentaje_Verb_Past,Percentaje_Verb_Present,Percentaje_Verb_Future,Percentaje_Foreign_Words_10000
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",72407.0,3009.0,24.06,22.77,1.0,920.0,24.0,44.0,32.0,5.39
 Tiffany Jenkins   High Achiever  The Incredible True Story of One Addict’s Double Life Harmony (2019) ,113573.0,6569.0,17.29,11.91,2.0,505.0,43.0,29.0,28.0,9.95
" (1) Don Miguel Ruiz   The Four Agreements Amber Allen Publishing, Incorporated (2018) ",30089.0,1564.0,19.24,12.44,2.0,195.0,12.0,55.0,33.0,11.3
 Steven Kotler   The Art of Impossible Harper Wave (2020) ,106259.0,5429.0,19.57,26.07,1.0,904.0,20.0,51.0,29.0,6.31
" Malcolm Gladwell   David and Goliath  Underdogs, Misfits, and the Art of Battling Giants Little, Brown and Company (2013) ",96303.0,4612.0,20.88,16.61,2.0,207.0,40.0,34.0,26.0,11.63
 Robert Kolker   Hidden Valley Road  Inside the Mind of an American Family Knopf Doubleday Publishing Group (2020) ,148962.0,6232.0,23.9,17.09,2.0,429.0,50.0,23.0,27.0,13.02
 Gary John Bishop   Unfu k Yourself  Get Out of Your Head and into Your Life HarperOne (2017) ,33592.0,1804.0,18.62,12.43,2.0,111.0,14.0,50.0,36.0,4.17
" Christian, Brian  Griffiths, Tom   Algorithms to Live By  The Computer Science of Human Decisions Henry Holt and Co. (2016) ",171990.0,6218.0,27.66,21.5,2.0,422.0,22.0,48.0,30.0,12.04
" Gary Vaynerchuk   Crushing It!  How Great Entrepreneurs Build Their Business and Influence and How You Can, Too HarperBusiness (2018) ",93375.0,4139.0,22.56,15.15,1.0,138.0,27.0,41.0,32.0,5.78
 Holly Glenn Whitaker   Quit Like a Woman  The Radical Choice to Not Drink in a Culture Obsessed with Alcohol Bloomsbury Publishing (2019) ,130183.0,4507.0,28.88,19.46,1.0,491.0,27.0,44.0,29.0,4.61
