Name,Verb,Verb_Counts,Verb_Counts_Percentaje,Noun,Noun_Counts,Noun_Counts_Percentaje,Pron,Pron_Counts,Pron_Counts_Percentaje
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",be,599,19.410239792611794,’,453,2.766412213740458,you,1011,15.635632539437056
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",have,127,4.115359688917692,attachment,353,2.1557251908396946,your,607,9.387565728425612
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",’,79,2.559948152948801,partner,331,2.021374045801527,she,527,8.150324775750077
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",do,67,2.171095268956578,t,331,2.021374045801527,he,511,7.902876585214971
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",find,59,1.911860012961763,relationship,283,1.7282442748091602,it,483,7.469842251778534
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",make,39,1.2637718729747245,style,272,1.6610687022900763,her,465,7.191463037426539
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",meet,37,1.1989630589760207,people,254,1.551145038167939,they,429,6.634704608722549
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",s,35,1.134154244977317,s,221,1.349618320610687,their,375,5.799566965666563
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",become,35,1.134154244977317,”,219,1.3374045801526717,we,322,4.979894834519023
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",know,35,1.134154244977317,i,202,1.233587786259542,his,273,4.222084751005259
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",go,34,1.101749837977965,secure,192,1.1725190839694657,what,212,3.278688524590164
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",say,34,1.101749837977965,“,146,0.8916030534351145,who,201,3.1085678935972783
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",want,34,1.101749837977965,time,142,0.867175572519084,our,180,2.7837921435199506
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",activate,34,1.101749837977965,way,141,0.8610687022900764,him,180,2.7837921435199506
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",use,33,1.069345430978613,someone,138,0.8427480916030534,them,156,2.4126198577172904
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",felt,32,1.0369410239792611,needs,137,0.8366412213740458,me,134,2.072378595731519
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",come,27,0.8749189889825016,•,132,0.8061068702290076,my,100,1.546551190844417
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",get,26,0.8425145819831497,relationships,121,0.7389312977099237,us,73,1.1289823693164245
" Amir Levine, Rachel Heller   Attached  The New Science of Adult Attachment and How It Can Help You Find   and Keep   Love   Penguin Group USA (2010) ",tell,25,0.8101101749837978,person,111,0.6778625954198473,yourself,66,1.0207237859573153
